id,phase,category,post_id,title,body,accepted_answer_id,answer_count,comment_count,community_owned_date,creation_date,favorite_count,last_activity_date,last_edit_date,last_editor_display_name,last_editor_user_id,owner_display_name,owner_user_id,parent_id,post_type_id,score,tags,view_count,hot_score
258805,1,Error,70239567,NodeJS with fastify and dd-trace - Datadog doesn't trace for post with body,"<p>My problem is pretty the same as here: <a href=""https://github.com/DataDog/dd-trace-js/issues/830"" rel=""nofollow noreferrer"">https://github.com/DataDog/dd-trace-js/issues/830</a>.
The issue is marked as resolved, but I still have it.</p>
<p>My post declaration:</p>
<pre><code>  fastify.post&lt;{
    Body: any;
    Response: any;
  }&gt;('/test', function (_request: FastifyRequest, reply: FastifyWrappableReply) {
    console.log(process.env.DD_CONTEXT_PROPAGATION);
    console.log(tracer.scope().active());
    console.log(tracer.scope().active()?.context().toTraceId());
    reply.status(200).send();
  });
</code></pre>
<p>For post without body the result looks like:</p>
<pre><code>[1] true
[1] DatadogSpan {...}
[1] 3780510505200846220
</code></pre>
<p>For post with body scope().active() returns null. TraceId is undefined:</p>
<pre><code>[1] true
[1] null
[1] undefined
</code></pre>
<p>I'm using fastify 3.22.0 and dd-trace 1.5.1. I will be very thankful for any advice how to enable tracing for post with body</p>",,0,0,,2021-12-5 23:49:23,,2021-12-5 23:49:23,,,,,2420030,,1,0,node.js|typescript|npm|datadog|fastify,175,
258806,3,Visualization,70244409,can Datadog be used to display the difference in time between two events or logs?,"<p>I am using Datadog's count API and if I have 2 events emitted with the same tag (like a UUID), I want to plot a distribution graph of the difference in time between these two events. (e.g. I have an API call and corresponding webhook that I receive afterwards, I want to measure latency between API call and receiving the webhook). Is this possible?</p>",,0,0,,2021-12-6 10:59:47,,2021-12-6 10:59:47,,,,,10526594,,1,0,datadog,31,
258807,3,Monitoring,70263323,"For a Datadog monitor with an arithmetic query, how can I make reference to individual metrics from that query?","<p>I have two Datadog gauge metrics, let's say <code>foo.bar</code> and <code>foo.baz</code>.</p>
<p>Got a monitor that must be triggered when there's discrepancy between them, so that the source query looks like:</p>
<pre><code>abs(max:foo.bar{host:XXXX} - max:foo.baz{host:XXXX})
</code></pre>
<p>The alert notification must contain both the final value of the difference between metrics, and the metrics values themselves - like:</p>
<p><em>&quot;There's difference 5.0 between <strong>foo.bar</strong> (value: 25.0) and <strong>foo.baz</strong> (value: 30.0)&quot;</em></p>
<p>For the former, there's <code>{{value}}</code> template variable, but I could not find the way to pass the individual metrics' values to the message.</p>
<p>How is it possible to put values of the metrics to the notification message?</p>",,0,0,,2021-12-7 16:03:18,,2021-12-7 16:03:18,,,,,17582370,,1,0,datadog,33,
258808,1,Parse,70278933,DataDog to OpenTracing IDs - Converting 64-bit unsigned integer to 128-bit unsigned and 64-bit unsigned hex,"<p>I am attempting to correlate traces originating in DataDog's RUM SDK, which are hitting by BE instrumented with OpenTelemetry. Essentially trying to implement the reverse of DD's documentation on <a href=""https://docs.datadoghq.com/tracing/connect_logs_and_traces/opentelemetry/"" rel=""nofollow noreferrer"">Connect OpenTelemetry Traces And Logs</a></p>
<blockquote>
<p>OpenTelemetry TraceId and SpanId properties differ from Datadog conventions. Therefore it’s necessary to translate TraceId and SpanId from their OpenTelemetry formats (a 128bit unsigned int and 64bit unsigned int represented as a 32-hex-character and 16-hex-character lowercase string, respectively) into their Datadog Formats(a 64bit unsigned int).</p>
</blockquote>
<p>The context is being set in my BE in the following way;</p>
<pre class=""lang-js prettyprint-override""><code>(event:any) =&gt; {
      if(event.headers) {
        const traceId = event.headers['x-datadog-trace-id']
        const spanId = event.headers['x-datadog-parent-id']
        if(traceId &amp;&amp; spanId) {
          const convertedTraceId = convertToOtelId(traceId, 32);
          const convertedSpanId = convertToOtelId(spanId, 16);
          const spanContext: SpanContext = {
            traceId: convertedTraceId,
            spanId: convertedSpanId,
            traceFlags: 1,
            isRemote: true,
          };
    
          return propagation.extract(context.active(), spanContext);
        }
      }
      return ROOT_CONTEXT;
    }
</code></pre>
<p>convertToOtelId is producing these results;</p>
<p><code>trace id - In: 2245099779221068633, Out: 00000000000000001f28325aa9c79b59</code></p>
<p><code>span id - In: 4011377516575614177, Out: 37ab46991f7a64e1</code></p>
<p>Obviously the 128-bit uint for the trace_id does not look correct with its leading zeros. Am I understanding this conversion correctly?</p>",,1,0,,2021-12-8 17:02:13,,2021-12-9 14:05:47,,,,,12005780,,1,0,javascript|unsigned|datadog|opentracing|open-telemetry,64,
258809,1,Error,70280057,Why does datadog lambda instrumentation return a `datadog-lambda-js/handler.handler is undefined or not exported`?,"<p>The Datadog AWS Lambda instrumentation seems unreliable to me. Every few invocations, I get the following error:</p>
<pre><code>    &quot;errorType&quot;: &quot;Runtime.HandlerNotFound&quot;,
    &quot;errorMessage&quot;: &quot;/opt/nodejs/node_modules/datadog-lambda-js/handler.handler is undefined or not exported&quot;,
    &quot;stack&quot;: [
        &quot;Runtime.HandlerNotFound: /opt/nodejs/node_modules/datadog-lambda-js/handler.handler is undefined or not exported&quot;,
        &quot;    at HandlerNotFound.ExtendedError [as constructor] (/opt/nodejs/node_modules/datadog-lambda-js/runtime/errors.js:113:28)&quot;,
        &quot;    at new HandlerNotFound (/opt/nodejs/node_modules/datadog-lambda-js/runtime/errors.js:131:42)&quot;,
        &quot;    at load (/opt/nodejs/node_modules/datadog-lambda-js/runtime/user-function.js:151:15)&quot;,
        &quot;    at Object.&lt;anonymous&gt; (/opt/nodejs/node_modules/datadog-lambda-js/handler.js:65:59)&quot;,
        &quot;    at Module._compile (internal/modules/cjs/loader.js:999:30)&quot;,
        &quot;    at Object.Module._extensions..js (internal/modules/cjs/loader.js:1027:10)&quot;,
        &quot;    at Module.load (internal/modules/cjs/loader.js:863:32)&quot;,
        &quot;    at Function.Module._load (internal/modules/cjs/loader.js:708:14)&quot;,
        &quot;    at Module.require (internal/modules/cjs/loader.js:887:19)&quot;,
        &quot;    at require (internal/modules/cjs/helpers.js:74:18)&quot;
    ]
}
</code></pre>
<p>To start the instrumentation, I run the following code.</p>
<pre><code>datadog-ci lambda instrument \
   -f my-lambda-name \
   -r my-region \
   -v 50 -e 15 \
   --service my-service \
   --env my-env \
   --version 1.0
</code></pre>
<p>Any idea what I'm doing wrong?</p>",,1,0,,2021-12-8 18:33:20,,2021-12-9 05:23:40,,,,,2596680,,1,0,node.js|logging|aws-lambda|datadog,71,
258810,3,Monitoring,70281433,Monitor threshold specifications in DataDog,"<p>I'm trying to set up a monitor in DataDog where when the condition is &gt;=5 (5 or more) the monitor will go into a triggered status, and to recover when it is 4 or less (&lt; 5).  Maybe I'm missing something but it feels like there isn't a way to properly set boundaries for discrete numbers without excluding the number as I hit a validation indicating the two numbers can't be the same (see picture).</p>
<p><a href=""https://i.stack.imgur.com/t6Y23.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/t6Y23.png"" alt=""monitor threshold"" /></a></p>",,0,1,,2021-12-8 20:39:21,,2021-12-8 20:39:21,,,,,6800897,,1,0,monitoring|datadog|sre,28,
258811,2,Query,70283723,Truncating in DataDog Widget,"<p>In a DataDog Widget, is there a way to configure a query value such that anything below say .01% (but not 0) is represented as &quot; &lt; .01%&quot;? I can live with the display here:</p>
<p><a href=""https://i.stack.imgur.com/s9YvO.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/s9YvO.png"" alt=""enter image description here"" /></a></p>
<p>But I want to match what they are doing in their default services view:</p>
<p><a href=""https://i.stack.imgur.com/Rvagz.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/Rvagz.png"" alt=""enter image description here"" /></a></p>
<p>I have played around with Cutoff Min and Clamp Min, but that didn't seem right. Here's the base configuration</p>
<p><a href=""https://i.stack.imgur.com/7nYFf.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/7nYFf.png"" alt=""enter image description here"" /></a></p>
<p>Thanks in advance!</p>",,0,0,,2021-12-9 01:32:07,,2021-12-9 01:32:07,,,,,286485,,1,0,datadog,16,
258812,3,Monitoring,70318922,How to monitor Hashicorp vault with datadog?,"<p>I need to monitor hashicorp vault that is running as a pod in gcp cluster with datadog. There are some docs about this: <a href=""https://docs.datadoghq.com/integrations/vault/?tab=host"" rel=""nofollow noreferrer"">https://docs.datadoghq.com/integrations/vault/?tab=host</a>. Following these instructions I tried to use approle auth method. And then I configured auto-auth for agent. Everything worked properly(client token was created). But when I wrote api_url and client_token Datadog didn't received any metrics. I got such errors:<br />
<a href=""https://i.stack.imgur.com/jhHsn.jpg"" rel=""nofollow noreferrer"">error image</a></p>
<p>How do you think how I can fix that?
Or if you already did such tasks can you describe how you configured everything</p>",,0,0,,2021-12-11 20:49:19,1,2021-12-12 18:04:31,2021-12-12 18:04:31,,7695859,,17619771,,1,0,kubernetes|hashicorp-vault|datadog,33,
258813,1,Method,70331061,Does Datadog tracing impact performance? (specifically Node.js),"<p>Does using Datadog tracing to monitor the performance of my Express (Node.js) REST API impact the throughput (requests per second)? In in other words, is there any performance overhead with tracing requests?</p>
<p>If so, what would the reduction in throughput be? (e.g. -10% approx.)</p>",,0,1,,2021-12-13 07:13:47,,2021-12-13 07:18:43,2021-12-13 07:18:43,,11986963,,11986963,,1,0,node.js|trace|datadog,27,
258814,1,Parse,70355492,Parse value from json,"<p>For a log for a particular service my one attribute <code>httpRequest</code> returns a json object:</p>
<pre><code>&quot;httpRequest&quot;: {
    &quot;country&quot;: &quot;DE&quot;,
    &quot;headers&quot;: [
        {
            &quot;name&quot;: &quot;Host&quot;,
            &quot;value&quot;: &quot;mydomain.example.com&quot;
        },
        {
            &quot;name&quot;: &quot;User-Agent&quot;,
            &quot;value&quot;: &quot;Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:94.0) Gecko/20100101 Firefox/94.0&quot;
        },
        {
            &quot;name&quot;: &quot;Accept&quot;,
            &quot;value&quot;: &quot;image/avif,image/webp,*/*&quot;
        },
        {
            &quot;name&quot;: &quot;Accept-Language&quot;,
            &quot;value&quot;: &quot;en,en-US;q=0.5&quot;
        },
        {
            &quot;name&quot;: &quot;Accept-Encoding&quot;,
            &quot;value&quot;: &quot;gzip, deflate, br&quot;
        },
        {
            &quot;name&quot;: &quot;Connection&quot;,
            &quot;value&quot;: &quot;keep-alive&quot;
        },
        {
            &quot;name&quot;: &quot;Referer&quot;,
            &quot;value&quot;: &quot;https://mydomain.example.com/cat.jpg&quot;
        },
        {
            &quot;name&quot;: &quot;Cookie&quot;,
            &quot;value&quot;: &quot;OptanonConsent=isIABGlobal=false&amp;datestamp=Thu+Oct+21+2021+09%3A55%3A11+GMT%2B0200+(South+Africa+Standard+Time)&amp;version=6.22.0&amp;landingPath=NotLandingPage&amp;AwaitingReconsent=false&amp;groups=C0001%3A1%2CC0003%3A1%2CC0002%3A1%2CC0004%3A1&amp;isGpcEnabled=0&amp;hosts=&amp;geolocation=ZA%3BWC; _ga_QQSC9D30C7=GS1.1.1620799882.6.0.1620799882.60; _ga=GA1.2.2133505955.1614865120; WZRK_G=79ce4c41d4194196af7e2846c4baec9b; ajs_anonymous_id=%227acfac50-a8df-4199-921c-eb149f78cd8d%22; OptanonAlertBoxClosed=2021-10-21T07:55:10.937Z&quot;
        },
        {
            &quot;name&quot;: &quot;Sec-Fetch-Dest&quot;,
            &quot;value&quot;: &quot;image&quot;
        },
        {
            &quot;name&quot;: &quot;Sec-Fetch-Mode&quot;,
            &quot;value&quot;: &quot;no-cors&quot;
        },
        {
            &quot;name&quot;: &quot;Sec-Fetch-Site&quot;,
            &quot;value&quot;: &quot;same-origin&quot;
        },
        {
            &quot;name&quot;: &quot;Pragma&quot;,
            &quot;value&quot;: &quot;no-cache&quot;
        },
        {
            &quot;name&quot;: &quot;Cache-Control&quot;,
            &quot;value&quot;: &quot;no-cache&quot;
        }
    ],
    &quot;args&quot;: &quot;&quot;,
    &quot;httpVersion&quot;: &quot;HTTP/1.1&quot;
}
</code></pre>
<p>What I am trying to do is parse the <code>headers</code> section so that I can create a new facet for the <code>headers.Host</code> value. Another thing to note is that the number of objects in this <code>headers</code> array can change, ie sometimes there will be a <code>X-Forwarder-for</code> header as an example.</p>
<p>To create a new attribute I've tried to use the String builder processor - but it looks like that won't work on an array. I've tried having a target value of <code>%{httpRequest.headers.Host}</code> but that returns a null value.</p>",,1,0,,2021-12-14 21:00:16,,2021-12-14 21:08:11,2021-12-14 21:06:20,,10478578,,10478578,,1,0,datadog,28,
