,id,post_id,title,body,accepted_answer_id,answer_count,comment_count,community_owned_date,creation_date,favorite_count,last_activity_date,last_edit_date,last_editor_display_name,last_editor_user_id,owner_display_name,owner_user_id,parent_id,post_type_id,score,tags,view_count,hot_score
0,258456,49059485,format splunk query by renaming search elements,"<p>I could use a little help with a splunk query I’m trying to use. </p>

<p>This query works fine for gathering the info I need:</p>

<pre><code>index=prd_aws_billing (source=""/*2017-12.csv"") LinkedAccountId=""1234567810"" OR LinkedAccountId=""123456789"" ProductName=""Amazon Elastic Compute Cloud"" | stats sum(UnBlendedCost) AS Cost by ResourceId,UsageType,user_Name,user_Engagement
</code></pre>

<p>However I’d like to refine that a bit. I’d like to represent user_Engagement as just Engagement and  user_Name as “Resource Name”. </p>

<p>I tried using AS to change the output, like I did to change UnBlendedCost to just “Cost”. But when I do that it kills my query, and nothing is returned. For instance if I do either:</p>

<pre><code>index=prd_aws_billing (source=""/*2017-12.csv"") LinkedAccountId=""123456789"" OR LinkedAccountId=""1234567810"" ProductName=""Amazon Elastic Compute Cloud"" | stats sum(UnBlendedCost) AS Cost by ResourceId AS “Resource Name”,UsageType,user_Name,user_Engagement AS “Engagement”
</code></pre>

<p>Or </p>

<pre><code>index=prd_aws_billing (source=""/*2017-12.csv"") LinkedAccountId=""123456789"" OR LinkedAccountId=""1234567819"" ProductName=""Amazon Elastic Compute Cloud"" ResourceID AS “Resource Name” user_Engagement AS “Engagement” | stats sum(UnBlendedCost) AS Cost by ResourceId AS “Resource Name”,UsageType,user_Name,user_Engagement AS “Engagement”
</code></pre>

<p>The query dies, and no info is returned. How can I reformat the search elements listed after the 'by' clause?</p>",49060727.0,1,0,,2018-3-1 22:09:57,,2018-3-2 00:02:37,,,,,1017466.0,,1,0,splunk,180,10
1,258457,49077872,POST a query to Splunk REST API /search/jobs/ endpoint in Golang,"<p>I would like to send a search/query to Splunk REST API, and return a search id to later consume the results.</p>

<p>I can achieve the desired behavior with the below <code>curl</code>:</p>

<pre><code>#!/bin/bash

user='my_user'
pass='my_pass'

search='search index=short sourcetype=src | head 5'

curl -u $user:$pass -k https://111.22.33.44:8089/services/search/jobs -d search=""$search""
</code></pre>

<p>which returns:</p>

<pre><code>&lt;?xml version=""1.0"" encoding=""UTF-8""?&gt;
&lt;response&gt;
  &lt;sid&gt;234523452435.6556_234234-3J3J-34J4-2345-123456678E3&lt;/sid&gt;
&lt;/response&gt;
</code></pre>

<p>Here are the relevant Go snippets in which I am trying to achieve the same:</p>

<p>Main:</p>

<pre><code>  //main.go
    sid, err := conn.Query()
    if err != nil {
            fmt.Println(""err creating search: %s"", err)
    } else {
            fmt.Println(""sid:"", sid)
    }
</code></pre>

<p>Query:</p>

<pre><code>    // query.go
    func (conn SplunkConnection) Query() (string, error) {
            data := make(url.Values)
            data.Add(""output_mode"", ""json"")
            data.Add(""search%20index%3Dshort%20sourcetype%3Dsrc%20%7C%20head%205"", ""search"")
            data.Add(""-60m%40m"", ""earliest"")
            data.Add(""-10m%40m"", ""latest"")

        // try httpGet() here
        sid, err := conn.httpPost(fmt.Sprintf(""%s/services/search/jobs"", conn.BaseURL), &amp;data)
        if err != nil {
                return """", err
        }

        return string(sid), err
}
</code></pre>

<p>Helper:</p>

<pre><code>// http.go
func (conn SplunkConnection) httpPost(url string, data *url.Values) (string, error) {
        return conn.httpCall(url, ""POST"", data)
}
</code></pre>

<p>What I expect is a response containing just a JSON blob with my SID. Instead, it returns a huge JSON, which appears to be contain all current jobs at the <code>/services/search/jobs</code> endpoint.</p>

<p>How can I adjust my code to return just the SID? (I intend to poll it for completion and retrieve the results later, but don't need help with this...yet).</p>",49078427.0,1,0,,2018-3-2 21:45:34,,2018-3-2 22:34:41,,,,,4109882.0,,1,0,rest|go|splunk,1605,13
2,258458,49080092,"How do I retain table fields in Splunk after a chart pipe? Tried concatenating the values into 'over' parameter, but get 'No results found'","<p>I've got a search where basically I want to show the number of user types per workspace per customer, but I can only get Customer Name and the user types into the table.</p>

<p>This is what I have that gives me that:</p>

<pre><code> | `workspace_submissions((submissions.workspaceGuid=*), (workspaceGuid=*))` 
 | search userGuid=* 
 | eval userPersona=case(workspaceRole=""ADMIN"", ""Builder"", cellValueChanges&gt;0 OR modelChanges&gt;0, ""Contributor"", cellValueChanges=0 AND modelChanges=0, ""Viewer"") 
 | lookup user-dc5prod userGuid output active 
 | eval US=if(active=1, ""Enabled"", ""Disabled"") 
 | stats count by userPersona workspaceGuid 
 | lookup workspace-dc5prod workspaceGuid output workspaceGuid, currentCustomerGuid as customerGuid 
 | lookup customer-dc5prod customerGuid output type name as customerName sfdcAccountGuid
 | chart values(count) over customerName by userPersona
</code></pre>

<p>And I checked out the response at this splunk forum question : <a href=""https://answers.splunk.com/answers/390709/how-do-i-add-extra-fields-to-a-chart-count-over-fi.html?utm_source=typeahead&amp;utm_medium=newquestion&amp;utm_campaign=no_votes_sort_relev"" rel=""nofollow noreferrer"">https://answers.splunk.com/answers/390709/how-do-i-add-extra-fields-to-a-chart-count-over-fi.html?utm_source=typeahead&amp;utm_medium=newquestion&amp;utm_campaign=no_votes_sort_relev</a> but when I put</p>

<pre><code> | eval customerName=customerName.""#"".workspaceGuid.""#"".sfdcAccountGuid
</code></pre>

<p>before chart, I return no results. I need to table customerName sfdcAccountGuid workspaceGuid Builder Contributor and Viewer</p>",,1,0,,2018-3-3 02:41:18,,2018-3-3 03:50:02,,,,,7507925.0,,1,0,charts|splunk|splunk-query,295,9
3,258459,49091472,Forwarding syslog messages from raspbian to splunk,"<p>how can i configure my raspberry pi having raspbian operating system to send syslogs to splunk?</p>

<p>I have configured rsyslog file with port and ip of splunk but not been able to get syslogs on splunk.</p>",,1,0,,2018-3-4 02:52:04,,2018-3-10 03:43:32,2018-3-4 09:03:16,,4420967.0,,9440219.0,,1,-1,raspbian|splunk,149,8
4,258460,49111651,How to produce rows for non-existing time buckets?,"<p>I have produced a table like this:</p>

<pre><code>+----------+---------+---------+-------+
| _time    | field_1 | field_2 | count |
+----------+---------+---------+-------+
| 08:00:00 | A       | 1       | 2     |
+----------+---------+---------+-------+
| 08:00:00 | B       | 1       | 4     |
+----------+---------+---------+-------+
| 08:00:03 | B       | 3       | 1     |
+----------+---------+---------+-------+
| 08:00:03 | A       | 2       | 3     |
+----------+---------+---------+-------+
</code></pre>

<p>I want to know:
what's average &amp; maximum count, per (field_1+field_2) combination, per second.
The problem is the _time is missing some seconds, so the <code>stats count</code> result only give me the aggregated results on existing time buckets.</p>

<p>How can I expand this table to include every missing time seconds, just by filling count=0, for each (field_1+field_2) combination? As long as I can do this, I can get the result simply by <code>stats avg(count) max(count) by field_1 field_2</code>.</p>",,2,0,,2018-3-5 13:32:58,,2018-3-5 16:17:02,,,,,5184632.0,,1,0,splunk|splunk-query|splunk-formula,1164,13
5,258461,49137334,splunk workflow actions not working,"<p>I am trying to create an incident using splunk POST workflow action. From event when i try to trigger the workflow action a new window is opened and the query string is getting appended to URL but the values are not filled in the fields.</p>

<p>how to resolve this issue?</p>",,0,3,,2018-3-6 18:07:16,,2018-3-6 18:20:47,2018-3-6 18:20:47,,5088859.0,,5088859.0,,1,0,splunk|splunk-query|splunk-formula|splunk-calculation|splunk-sdk,173,8
6,258462,49234052,How to append two queries in splunk?,"<p>I have following two queries:</p>

<p><code>host=""abc*"" sourcetype=""xyz"" Request=""some.jsp""
| stats count as ""TotalCount"" by Request</code></p>

<p>This gives the total count of requests</p>

<p>and </p>

<p><code>host=""abc*"" sourcetype=""xyz"" Request=""some.jsp""
| where TimeTaken &lt; 6000
| stats count as ""ReqLT6Sec"" by Request</code></p>

<p>This gives count of requests which took less than 6 seconds response time.</p>

<p>My requirement is to get these two results by running a single query. I tried appending the queries as below:</p>

<p><code>host=""abc*"" sourcetype=""xyz"" Request=""some.jsp""
| stats count as ""TotalCount"" by Request
| append
[search host=""abc*"" sourcetype=""xyz"" Request=""some.jsp""
| where TimeTaken &lt; 6000
| stats count as ""ReqLT6Sec"" by Request]</code></p>

<p>This would work for simple request as above like single jsp, but if I am using wild card for Request and data is huge, count of ""ReqLT6Sec"" is not matching with result obtained by running individual query runs. Any help is appreciated to get this in simpler way.</p>

<p>Thanks.</p>",49235805.0,1,0,,2018-3-12 11:25:31,,2018-3-12 12:55:17,,,,,5707066.0,,1,1,splunk,5773,16
7,258463,49236713,Splunk Regex field extraction,"<p>I want to extract a certain part of a string, for instance:</p>

<p>Input</p>

<pre><code>\\host1\teams\team1\bla\bla\bla
\\host1\teams\team2\bla\bla
\\host1\teams\team3\bla
\\host1\teams\team4
</code></pre>

<p>Output</p>

<pre><code>team1
team2
team3
team4
</code></pre>

<p>I have a Regular Expression that works on Regex101.com, however, when I take it to Splunk, it returns this error <code>Regex: missing terminating ] for character class</code> and I can't .</p>

<p>The Regex is:</p>

<pre><code>(^\\\\host1\\teams\\)(?P&lt;Team&gt;[^\\]+)
</code></pre>

<p>Example data:</p>

<p><code>""\\host1\teams\team1"",""abc123"",""def678""</code></p>

<p><strong>Update</strong>:</p>

<p><a href=""https://regex101.com/r/c9Lqh6/1"" rel=""nofollow noreferrer"">regex101 example</a></p>",49238285.0,1,0,,2018-3-12 13:42:00,,2018-3-12 14:57:33,,,,,9418600.0,,1,0,regex|pcre|splunk,844,11
8,258464,49251824,syslog NG not starting up when specifying an ip address but works as a catch all and write to file setup,"<p>I am trying to setup a syslog NG server where i could collect all the logs. now ive managed to create the settings where the server will collect all the logs from all the servers and write it to a single file. but i was wondering if its possible to create a separate log file for each ip address. my config file is as below and every time i mention network it fails to start. can you please let me know where im going wrong?</p>

<pre><code>log { source(s_src); filter(f_console); destination(d_console_all);
                                    destination(d_xconsole); };
log { source(s_src); filter(f_crit); destination(d_console); };
log {
  source(s_src);
  };
destination Windest {
  file(""/var/log/test"");
  };
source forwarder {
  network( ip(192.168.1.140));
  };
destination forwarderonedest {
  file(""/var/log/forwarder1"");
  };
log {
  source(forwarder);
  destination(forwarderonedest);
  };

the 
</code></pre>

<p>error i get when i try to restart is
 /etc/init.d/syslog-ng restart
[....] Restarting syslog-ng (via systemctl): syslog-ng.serviceJob for syslog-ng.service failed because the control process exited with error code. See ""systemctl status syslog-ng.service"" and ""journalctl -xe"" for details.
 failed!</p>

<p>what works for me is </p>

<p>};</p>

<pre><code>destination Windest {
  file(""/var/log/test"");
  };
source forwarder {
  tcp();
  udp();
  };
destination forwarderonedest {
  file(""/var/log/forwarder1"");
  };
log {
  source(forwarder);
  destination(forwarderonedest);
  };
</code></pre>

<p>and it works. but all the logs from all the machines get written on to a single file.</p>",,1,0,,2018-3-13 08:52:07,,2018-3-19 15:16:57,,,,,7193162.0,,1,-1,syslog|splunk|rsyslog|syslog-ng,661,11
9,258465,49257971,"How can I find the string ""Moved to Quarantine"" via Splunk using Regex?","<p>How can I find the string &quot;Moved to Quarantine&quot; via Splunk using Regex? (If anything, what would the Regex line be?)</p>
<p>Script would be essentially  &quot;anything Moved to Quarantine anything&quot;</p>
<p>This is the line I'm working with;</p>
<blockquote>
<p>Message=Computer-0104 [Tuesday, March 13, 2018 3:31:39 AM (GMT-06:00)]
(Virus Scan SP1): Result: Moved to Quarantine:
not-a-virus:HEUR:AdWare.Script.Generic</p>
</blockquote>
<p>What i'm working on;
<code>.+?(?=Result:\sMoved to Quarantine:)|:\tMoved\sto\sQuarantine:\s</code></p>
<p><a href=""https://i.stack.imgur.com/LCrEl.png"" rel=""nofollow noreferrer"">Example Pic</a></p>",,1,1,,2018-3-13 13:52:12,,2018-3-13 15:22:48,2020-6-20 09:12:55,,-1.0,,9485809.0,,1,0,regex|splunk,68,7
