time,Installation and Configuration,Data Collection,Data Processing,Monitoring and Operations
Jul-18,0.220606671,0.509256459,0.178424683,0.08602324
Aug-18,0.161314073,0.660236686,0.1733847,0
Sep-18,0.165680458,0.270231377,0.312178095,0.246858492
Oct-18,0,0.565491157,0,0.427150456
Nov-18,0,0.258441154,0.248876338,0.483734584
Dec-18,0,0.995327344,0,0
Jan-19,0,0.996151984,0,0
Feb-19,0.065233268,0.868779734,0,0.059848513
Mar-19,0.01590114,0.860069245,0.073279967,0.046124568
Apr-19,0.076422857,0.548514754,0.165320867,0.203277178
May-19,0,0.439516701,0.2485016,0.305241089
Jun-19,0,0,0,0.99484998
Jul-19,0,0.583398432,0.155375883,0.256475717
Aug-19,0.078377433,0.582454125,0.325149967,0
Sep-19,0,0.240654185,0.273423254,0.480934178
Oct-19,0,0.590205209,0.119242185,0.284243039
Nov-19,0.07126897,0.410730856,0.177968599,0.333080325
Dec-19,0.090735383,0.474667157,0.213395705,0.215101724
Jan-20,0,0.471362531,0.096463366,0.425173989
Feb-20,0.213416289,0.428950318,0.117703963,0.233560049
Mar-20,0.061041811,0.578849828,0.049136178,0.302985575
Apr-20,0.125507485,0.447657173,0.207781695,0.211730022
May-20,0.183721356,0.420163958,0.214119551,0.175149898
Jun-20,0.075615726,0.543135024,0.090464254,0.283784586
Jul-20,0.194497908,0.441505104,0.1644837,0.192081705
Aug-20,0,0.709073342,0.22944005,0.055228844
Sep-20,0.264030883,0.245581318,0.025262267,0.458289805
Oct-20,0.016248581,0.660830405,0.1484761,0.166750527
Nov-20,0.00989988,0.447512535,0.430072508,0.10608034
Dec-20,0.071126406,0.46957781,0.165898713,0.286671307
Jan-21,0.139196634,0.584732743,0.103379439,0.166698443
Feb-21,0.045579101,0.482494349,0.093902371,0.372513911
Mar-21,0.042645881,0.340284391,0.24151631,0.36855247
Apr-21,0.059184233,0.437197186,0.133578885,0.36508657
May-21,0.013966305,0.705907552,0.035759955,0.239033516
Jun-21,0.157363591,0.374255383,0.035389857,0.425205831
Jul-21,0.156880224,0.403456036,0.112610379,0.31857377
Aug-21,0.128320676,0.505950299,0.112398123,0.246834283
Sep-21,0.063370915,0.504257136,0.161466865,0.264906198
Oct-21,0.07454395,0.360172421,0.182301142,0.375697936
Nov-21,0.1397344,0.330899135,0.270089698,0.253699687
Dec-21,0,0.992893636,0,0
