time,Installation and Configuration,Data Collection,Data Processing,Operation and Maintenance
2018/7/1 16:13,0.98708504,0,0,0
2018/7/13 11:15,0,0.242586672,0.61039245,0.142965689
2018/7/14 16:43,0.998375,0,0,0
2018/7/16 14:16,0,0.991250843,0,0
2018/7/17 9:11,0,0.987630576,0,0
2018/7/20 12:57,0,0.996066153,0,0
2018/7/23 8:08,0,0.3672252,0,0.631243467
2018/7/25 14:48,0,0,0.9954297,0
2018/7/25 17:00,0,0.998548687,0,0
2018/8/6 12:05,0,0.994640529,0,0
2018/8/7 14:14,0,0.990727186,0,0
2018/8/14 11:47,0,0.998073518,0,0
2018/8/15 20:58,0.99790806,0,0,0
2018/8/16 1:16,0,0.994384289,0,0
2018/8/20 15:23,0,0.996009171,0,0
2018/8/22 21:58,0.4539186,0.538772941,0,0
2018/8/28 20:53,0,0,0.9942948,0
2018/8/30 12:16,0,0.429522544,0.5661675,0
2018/9/5 2:38,0,0.260439843,0.734556,0
2018/9/6 21:08,0,0.106304988,0.4020793,0.486099929
2018/9/11 6:18,0,0,0,0.995051026
2018/9/13 10:09,0,0.258293621,0.73643327,0
2018/9/18 16:11,0.99408275,0,0,0
2018/9/18 16:19,0,0.996349812,0,0
2018/10/1 8:45,0,0.991917193,0,0
2018/10/1 16:09,0,0.997920334,0,0
2018/10/11 7:59,0,0.798843563,0,0.191546395
2018/10/16 5:06,0,0,0,0.9931494
2018/10/19 11:31,0,0.698396385,0,0.29257226
2018/10/25 12:32,0,0,0,0.992597938
2018/10/29 11:34,0,0.471360624,0,0.520187199
2018/11/9 9:08,0,0,0,0.995145321
2018/11/9 13:27,0,0.884094298,0,0.098597221
2018/11/9 18:36,0,0.428983241,0,0.559644938
2018/11/19 21:27,0,0,0,0.99381268
2018/11/22 16:42,0,0.754451692,0,0.234597802
2018/11/23 5:45,0,0,0.9953458,0
2018/11/24 14:25,0,0,0,0.988078713
2018/11/25 15:54,0,0,0.9956649,0
2018/12/3 16:53,0,0.991876066,0,0
2018/12/10 8:54,0,0.996938616,0,0
2018/12/21 6:50,0,0.997167349,0,0
2019/1/26 20:56,0,0.997048855,0,0
2019/1/30 20:46,0,0.995255113,0,0
2019/2/3 23:29,0,0.987160146,0,0
2019/2/17 17:18,0,0.994767725,0,0
2019/2/21 16:14,0,0.758050978,0,0.239394054
2019/2/28 7:37,0.26093307,0.735140085,0,0
