time,Installation and Configuration,Data Collection,Data Processing,Monitoring and Operations
May-17,0.135527768,0.45751712,0.35809508,0.038487559
Jun-17,0.12123629,0.404098164,0.424551463,0.037846996
Jul-17,0.138348827,0.425821576,0.377954805,0.046092409
Aug-17,0.116813203,0.3779034,0.434874423,0.06048965
Sep-17,0.160471362,0.447933872,0.334173868,0.047198241
Oct-17,0.118225072,0.509267376,0.325217739,0.037998263
Nov-17,0.161964731,0.396766494,0.364942919,0.063402174
Dec-17,0.285306452,0.392846018,0.279000232,0.030871453
Jan-18,0.071553717,0.377468407,0.465941428,0.072961977
Feb-18,0.0853862,0.456304697,0.417705849,0.028418712
Mar-18,0.117284694,0.416151349,0.430509127,0.024132913
Apr-18,0.097853059,0.270857389,0.567846573,0.050081946
May-18,0.041463416,0.342030561,0.491436195,0.115815334
Jun-18,0.077772935,0.24193639,0.60282994,0.064321101
Jul-18,0.129847457,0.225399171,0.587598651,0.044470121
Aug-18,0.087662466,0.321696769,0.515073492,0.063579692
Sep-18,0.081830256,0.314998723,0.539198868,0.05346272
Oct-18,0.090043376,0.2925427,0.543545693,0.061786996
Nov-18,0.080088792,0.294653354,0.571166282,0.043193423
Dec-18,0.13621688,0.311278809,0.479342187,0.061361207
Jan-19,0.070614785,0.413142218,0.435577497,0.068544525
Feb-19,0.047908657,0.294935162,0.581836077,0.062940853
Mar-19,0.129686852,0.292689452,0.523339452,0.041460507
Apr-19,0.107044125,0.330709655,0.492594428,0.059388048
May-19,0.11793022,0.347659113,0.481394762,0.043005134
Jun-19,0.056808822,0.326501814,0.549527721,0.056414662
Jul-19,0.141971419,0.297706746,0.508528958,0.040222219
Aug-19,0.060606203,0.216355129,0.675835626,0.03790065
Sep-19,0.123909721,0.283723546,0.501109371,0.081786685
Oct-19,0.134318858,0.263419444,0.542495919,0.047352878
Nov-19,0.127430062,0.352628762,0.468160804,0.042279314
Dec-19,0.123991382,0.290572536,0.528470732,0.043267222
Jan-20,0.083732023,0.318382972,0.544468724,0.041780078
Feb-20,0.090655427,0.248615309,0.595088693,0.053952327
Mar-20,0.088681737,0.187533404,0.667536528,0.045956477
Apr-20,0.092190125,0.197828485,0.680642337,0.01856835
May-20,0.076218224,0.224389553,0.627142937,0.058870462
Jun-20,0.096019755,0.285502144,0.519540277,0.089272663
Jul-20,0.098341381,0.27548314,0.598046106,0.019768016
Aug-20,0.084148819,0.262000668,0.589940926,0.054344795
Sep-20,0.092191025,0.229561949,0.610734184,0.055752465
Oct-20,0.161061696,0.2588891,0.532134137,0.03546016
Nov-20,0.084707979,0.290105624,0.598637248,0.015354154
Dec-20,0.079188534,0.275053096,0.562169578,0.072532318
Jan-21,0.118232646,0.177660525,0.618965025,0.072671345
Feb-21,0.059021639,0.270581134,0.57118352,0.087746132
Mar-21,0.041192549,0.204046079,0.672388787,0.073498781
Apr-21,0.09659925,0.260251799,0.562011897,0.072167545
May-21,0.094099599,0.293601076,0.555807592,0.044069563
Jun-21,0.085287719,0.220946983,0.607591256,0.074666982
Jul-21,0.055226131,0.222949157,0.650662971,0.058802837
Aug-21,0.129769785,0.271428821,0.534170841,0.053645235
Sep-21,0.101232467,0.198587931,0.646966399,0.042429291
Oct-21,0.10070835,0.289392302,0.537627904,0.061064179
Nov-21,0.093991581,0.340555574,0.491379221,0.061593389
Dec-21,0,0.221967775,0.77314692,0
