time,Installation and Configuration,Data Collection,Data Processing,Operation and Maintenance
2017/5/1 12:11,0,0.33666572,0.6608,0
2017/5/3 7:39,0,0.3250826,0.671457194,0
2017/5/3 9:55,0.28023136,0.426883221,0.286747523,0
2017/5/4 7:03,0.41841474,0.566825211,0,0
2017/5/4 11:10,0.061063085,0.785426855,0.14727357,0
2017/5/4 11:25,0.14764793,0.695426524,0.147781715,0
2017/5/8 12:15,0,0.3442246,0.572493032,0.08138242
2017/5/8 13:13,0,0.83101213,0.15434663,0
2017/5/9 11:24,0,0.49461174,0.496348284,0
2017/5/9 12:51,0.25136477,0.734282136,0,0
2017/5/9 17:38,0,0.30297217,0.430678256,0.2618901
2017/5/10 5:46,0.23293756,0.465333492,0.284666985,0
2017/5/10 15:54,0,0.3930587,0.508461118,0.09016345
2017/5/11 5:58,0.7333437,0.144193366,0.1060647,0
2017/5/11 9:56,0.07292361,0.649194896,0.254777253,0
2017/5/11 12:08,0.2661287,0.585074544,0.141905129,0
2017/5/12 7:36,0,0.664777398,0.329991713,0
2017/5/12 8:20,0,0,0.538465977,0.43119225
2017/5/12 9:54,0.5222003,0.28945476,0,0.18094347
2017/5/12 10:18,0,0.45505482,0.527902246,0
2017/5/14 6:08,0.43128285,0.059759449,0.498263627,0
2017/5/14 11:25,0,0.42876479,0.562284946,0
2017/5/15 12:28,0,0.499121904,0.450340807,0.04394735
2017/5/15 21:00,0,0.9886436,0,0
2017/5/16 7:52,0.055834476,0.460985422,0.473831236,0
2017/5/16 11:15,0,0,0.745597675,0.24730445
2017/5/18 14:37,0.4644604,0.478625178,0.048065048,0
2017/5/18 19:05,0.1231046,0.851843417,0.022472328,0
2017/5/20 9:37,0,0.461293489,0.526970744,0
2017/5/21 23:05,0,0.444328934,0.387157887,0.16080467
2017/5/22 8:52,0,0.845388114,0.143058091,0
2017/5/22 10:41,0.34391338,0.515930176,0.136373892,0
2017/5/23 7:07,0,0,0.986090273,0
2017/5/23 9:18,0,0.9805783,0,0
2017/5/23 13:36,0,0.402974516,0.590965644,0
2017/5/24 10:52,0.62415594,0.011418672,0.332505286,0
2017/5/24 13:48,0.29163006,0.42358917,0.277066112,0
2017/5/25 5:52,0.20874739,0.573795199,0.210140809,0
2017/5/25 8:44,0,0,0.821762323,0.16520903
2017/5/26 8:00,0,0.146225646,0.846795186,0
2017/5/26 15:34,0.2177841,0.763742626,0,0
2017/5/26 21:12,0,0.225489512,0.768745244,0
2017/5/26 23:39,0.0762852,0.65050805,0.268547356,0
2017/5/28 10:35,0.16023663,0.76282585,0,0.06910297
2017/5/29 5:32,0.11505876,0.122883484,0.757082783,0
2017/6/1 6:38,0.1701479,0.8202693,0,0
2017/6/1 7:39,0.6137056,0.28209156,0.100110613,0
2017/6/1 8:17,0.14541806,0,0.840206623,0
2017/6/1 9:21,0,0.099103913,0.893731922,0
2017/6/1 12:18,0,0.61376363,0.372938633,0
2017/6/1 16:17,0.4496795,0.421153605,0.114334732,0
2017/6/2 7:11,0,0,0.864785582,0.12613332
2017/6/3 18:40,0,0.6731961,0.188164085,0.12799092
2017/6/4 11:57,0,0.064422756,0.924736097,0
2017/6/5 3:03,0,0.230091929,0.7676339,0
2017/6/6 8:45,0.5149843,0.410843551,0.06205716,0
2017/6/6 11:14,0,0.566705763,0.423653781,0
2017/6/6 14:12,0,0.41043362,0.426816076,0.15600692
2017/6/8 2:25,0,0.350601584,0.643666223,0
2017/6/11 6:56,0,0.910657823,0.074211374,0
2017/6/12 0:12,0.30580524,0.680223167,0,0
2017/6/12 8:14,0,0.344914317,0.239758644,0.4078951
2017/6/12 14:22,0,0.84396553,0.150703564,0
2017/6/13 4:30,0.16726166,0.57267034,0.245183706,0
2017/6/13 12:16,0,0,0.974841416,0
2017/6/15 0:06,0,0.346371055,0.638515472,0
2017/6/15 5:27,0.256191,0.521110713,0.216760933,0
