time,Installation and Configuration,Data Collection,Data Processing,Monitoring and Operations
Mar-18,0.149916111,0.165579025,0.616758472,0.060312874
Apr-18,0.124007425,0.225573231,0.590858321,0.050239633
May-18,0.142248604,0.23715259,0.583225949,0.028931945
Jun-18,0.159059725,0.089006552,0.577414487,0.165993636
Jul-18,0.094822953,0.215451302,0.590340103,0.092066063
Aug-18,0.091175748,0.197165034,0.613240375,0.089834574
Sep-18,0.385486904,0.156422308,0.228687966,0.220867625
Oct-18,0.209040992,0.052138964,0.608678221,0.120909536
Nov-18,0.134541856,0.324534405,0.366652235,0.166682801
Dec-18,0.025614809,0.300803748,0.530877532,0.131725531
Jan-19,0.190411624,0.088413803,0.565741371,0.146597904
Feb-19,0.21662636,0.104670592,0.49884019,0.168627496
Mar-19,0.155459981,0.180052166,0.555230302,0.099137203
Apr-19,0.140822294,0.136498659,0.687474761,0.026342377
May-19,0.305069858,0.130250495,0.389775385,0.166449899
Jun-19,0.114094224,0.156810497,0.525693651,0.19409109
Jul-19,0.183946772,0.048718483,0.700171103,0.057340956
Aug-19,0.144625311,0.095383188,0.614257571,0.13757222
Sep-19,0.044429463,0.094638306,0.745675591,0.107968591
Oct-19,0.162742767,0.130990723,0.622601874,0.075472829
Nov-19,0.206829518,0.063329886,0.664215824,0.054979963
Dec-19,0.118505437,0.142958887,0.617478456,0.113137586
Jan-20,0.114894857,0.152157169,0.607427407,0.116902327
Feb-20,0.147733041,0.134164055,0.646327272,0.062817743
Mar-20,0.126113893,0.085214114,0.69079497,0.087515244
Apr-20,0.188645228,0.251367612,0.500747829,0.048677978
May-20,0.100035141,0.067577174,0.704289855,0.118532511
Jun-20,0.15880343,0.167095922,0.555641154,0.109485878
Jul-20,0.080029484,0.082459159,0.666307713,0.160305643
Aug-20,0.119507648,0.118467674,0.618157204,0.134324792
Sep-20,0.073880168,0.190333562,0.594468224,0.131430744
Oct-20,0.03780698,0.042224056,0.776985831,0.133807674
Nov-20,0.082699081,0.180015411,0.647230264,0.082363126
Dec-20,0.093013979,0.096298411,0.691805295,0.109502133
Jan-21,0.093379604,0.094262449,0.609481646,0.194141595
Feb-21,0.053662044,0.172542453,0.722879132,0.043193168
Mar-21,0.116161244,0.089946416,0.625070016,0.160130772
Apr-21,0.083297863,0.100260245,0.668130955,0.140762864
May-21,0.185790052,0.110482862,0.615412761,0.081085669
Jun-21,0.251800877,0.15738144,0.485698699,0.093819506
Jul-21,0.174990181,0.053505736,0.715468496,0.047979525
Aug-21,0.038908489,0.152650461,0.66295306,0.137049988
Sep-21,0.066100476,0.143683594,0.663835,0.11743712
Oct-21,0.143211318,0.134059056,0.68004247,0.033596485
Nov-21,0.084729018,0.200623297,0.60074552,0.102579583
Dec-21,0.248753111,0.136154865,0.332843661,0.27351882
