time,Installation and Configuration,Data Collection,Data Processing,Operation and Maintenance
2018/3/1 22:09,0,0,0.992002428,0
2018/3/2 21:45,0.245866448,0,0.74881357,0
2018/3/3 2:41,0,0,0.993369237,0
2018/3/4 2:52,0,0.616890967,0.36459142,0
2018/3/5 13:32,0,0,0.948920757,0.04640025
2018/3/6 18:07,0.144185454,0,0.135998443,0.7105997
2018/3/12 11:25,0.16233997,0,0.83288008,0
2018/3/12 13:42,0,0,0.986252546,0
2018/3/13 8:52,0.38174215,0.495826632,0,0.11937701
2018/3/13 13:52,0,0,0.992275715,0
2018/3/14 9:54,0.992409885,0,0,0
2018/3/14 13:44,0,0.379897922,0.524092734,0.09160729
2018/3/14 22:10,0,0,0.811521471,0.18699805
2018/3/15 21:59,0,0,0.981631517,0
2018/3/16 5:05,0,0.049513496,0.940281831,0
2018/3/16 15:04,0,0.995703697,0,0
2018/3/19 11:31,0.314117402,0,0.680610538,0
2018/3/19 11:49,0.390933663,0,0.599450558,0
2018/3/21 9:17,0.6223114,0,0.366463125,0
2018/3/22 8:58,0,0,0.993669599,0
2018/3/23 3:15,0.054148596,0,0.939610898,0
2018/3/27 16:59,0.38761315,0,0.283837669,0.32536557
2018/3/28 4:22,0,0.495294869,0.503296852,0
2018/3/28 4:25,0,0.7468644,0.241543412,0
2018/3/29 16:17,0,0,0.84900564,0.14809974
2018/3/29 17:34,0.190869674,0.690641701,0.108714774,0
2018/3/31 12:05,0.1611972,0,0.833643943,0
2018/4/1 13:42,0.265873879,0,0.727672994,0
2018/4/5 14:42,0.873437226,0,0.113397822,0
2018/4/5 20:25,0,0.064282738,0.932680398,0
2018/4/8 18:00,0,0.981089115,0,0
2018/4/9 7:21,0,0,0.98789227,0
2018/4/9 8:01,0,0.723403633,0.268839747,0
2018/4/9 13:49,0.605180204,0.384464443,0,0
2018/4/11 15:22,0,0,0.790563196,0.20245028
2018/4/13 7:01,0,0,0.990971446,0
